plant_id,customer_id,plant_name,manufacturer,model,installation_date,cooling_capacity,heating_capacity,energy_efficiency_rating,warranty_expiration,last_inspection_date,plant_status
19,8,Langworth - Sawayn Plant,"Hane, Turner and Schulist",HMYE4UM9KE,2024-07-22,30142 BTU,52582 BTU,20.66040119855014,2028-04-24,2024-08-02,Inactive
20,8,Fadel LLC Plant,Hintz - Casper,QTSYKHZ0RT,2021-05-27,53707 BTU,29562 BTU,17.070279143909854,2026-10-05,2023-07-17,Inactive
21,9,Spencer Inc Plant,"Donnelly, Hegmann and Anderson",DIJ6GL8LMY,2021-02-26,41351 BTU,35991 BTU,13.823225005728398,2021-03-11,2022-10-23,Inactive
22,9,Stehr - Hane Plant,"Wilkinson, Cremin and Johns",85YNCJLIEX,2020-07-23,36509 BTU,30777 BTU,16.20156712280785,2029-08-20,2022-03-23,Active
23,9,Barton - Pfannerstill Plant,"Koss, Donnelly and Marks",TFNPWTQKMQ,2023-10-28,30261 BTU,27573 BTU,19.308829007471516,2029-10-27,2024-07-23,Active
24,9,Wisozk LLC Plant,Trantow Inc,KKO9FHTLBO,2021-12-02,26548 BTU,57351 BTU,19.796655754497063,2026-04-02,2023-08-14,Under Maintenance
25,9,Gerlach - Gislason Plant,"Ruecker, Stroman and Runolfsdottir",EHSQS2K2BC,2022-11-10,33622 BTU,48531 BTU,20.14952382145826,2029-05-11,2024-02-06,Inactive
26,10,"Von, Christiansen and Sporer Plant",Buckridge - Gerlach,LGZAZQCUP0,2020-11-18,39511 BTU,59407 BTU,19.099173193674456,2030-03-14,2023-08-22,Under Maintenance
27,10,Spinka LLC Plant,"Klein, Runte and Nitzsche",L8BILG76Z1,2022-10-06,29506 BTU,26033 BTU,13.607580754758972,2029-02-22,2024-08-06,Inactive
28,11,Weber Group Plant,Auer - Spencer,VQGBKIMJYI,2023-03-20,49354 BTU,27138 BTU,17.40332452995404,2025-10-17,2024-06-29,Active
29,11,"Kuhn, Lowe and Prosacco Plant","Mosciski, Bashirian and Gulgowski",GV2F1UQKQA,2020-06-27,25973 BTU,32239 BTU,19.653217741725367,2027-11-14,2022-06-11,Under Maintenance
30,11,"Halvorson, Kuhlman and Parisian Plant",Mayert LLC,FDFHNINGY9,2020-11-07,47080 BTU,54100 BTU,17.09800324823858,2026-01-11,2024-09-01,Inactive
31,11,"Breitenberg, Ferry and Botsford Plant","Ankunding, Towne and Wiegand",HGL6N3CE6T,2022-07-07,26648 BTU,39616 BTU,14.486703950249778,2024-06-17,2023-08-16,Active
32,12,Kunze Inc Plant,Haley Group,BAXLB4JSMK,2020-10-22,43752 BTU,47093 BTU,18.92166893976476,2027-12-27,2022-08-28,Active
33,12,Hahn - Jerde Plant,"Terry, D'Amore and Kunde",62WAFEVCAS,2020-09-10,35371 BTU,56898 BTU,14.502664043175276,2022-07-01,2022-09-12,Inactive
34,12,"Deckow, Larkin and Stoltenberg Plant",Windler - Gorczany,IAH7AFACUX,2021-06-29,50507 BTU,56742 BTU,19.064725515920074,2023-05-05,2024-03-30,Inactive
35,12,O'Connell Group Plant,"Kerluke, Ortiz and Mills",VXCVLLK9HK,2021-05-28,58708 BTU,36056 BTU,20.401337185778992,2029-06-19,2023-04-12,Active
36,12,"Little, Cremin and Smith Plant","Sawayn, Okuneva and Turner",MVBO773ZTF,2021-06-07,50420 BTU,59247 BTU,17.156712971445355,2026-01-14,2024-06-16,Active
37,13,"McClure, Senger and Hansen Plant",Schowalter - Kling,LE3Q3HO7UD,2024-05-14,43780 BTU,51531 BTU,19.78738107586453,2026-01-09,2024-07-24,Active
38,13,Wisozk - Ratke Plant,"Aufderhar, Doyle and Fisher",SKAE7RK4EQ,2022-07-17,56753 BTU,46815 BTU,14.821465032263923,2029-09-23,2023-03-29,Active
39,13,"Goodwin, Tromp and Mosciski Plant",Mayer and Sons,DYOSTLWAWZ,2022-10-09,52967 BTU,36856 BTU,19.014198788869745,2029-08-09,2024-08-09,Inactive
40,13,Wyman - Bayer Plant,Braun and Sons,BUPUHUIFVD,2023-06-19,24507 BTU,32488 BTU,15.710773581588299,2025-04-18,2024-05-30,Under Maintenance
41,14,Anderson - Mayer Plant,Rogahn LLC,VPNBSJMCWQ,2021-07-12,59694 BTU,50852 BTU,15.837863287226327,2030-09-03,2023-08-30,Active
42,14,Nitzsche LLC Plant,Graham - Gusikowski,SUNQHNCM1Y,2021-10-19,26442 BTU,41447 BTU,16.707310976110207,2030-04-05,2024-09-22,Inactive
43,14,"Cartwright, Weber and McCullough Plant","Stamm, Hintz and Grady",GKCB3XNDY8,2024-07-19,49539 BTU,39120 BTU,15.440149678596882,2030-03-01,2024-09-08,Active
44,15,Johnston - Steuber Plant,"Hessel, Smitham and Dooley",DTGXYK8UXE,2020-11-19,57353 BTU,50431 BTU,15.573415256493195,2023-10-26,2021-12-06,Inactive
45,16,"O'Kon, Orn and Kihn Plant","Kautzer, Jaskolski and Jenkins",GCD36KBXFN,2022-10-18,55080 BTU,26489 BTU,14.653336333575053,2029-04-03,2023-08-26,Inactive
46,16,"Powlowski, Jerde and Lesch Plant",Block LLC,LSOTJIORJ0,2022-05-11,32964 BTU,29973 BTU,19.21652897307692,2027-05-07,2023-01-20,Active
47,16,Reichel Inc Plant,"Thiel, Howell and Roberts",SRS8BXKKRO,2021-09-16,33920 BTU,33469 BTU,17.288357679036213,2023-07-23,2022-06-17,Under Maintenance
48,16,Thiel - Runolfsdottir Plant,Volkman Inc,SDFPD3OFNX,2022-03-10,37537 BTU,49686 BTU,13.965342237595145,2027-01-21,2022-06-25,Inactive
49,17,"Greenfelder, Mills and Collier Plant",Hamill - McLaughlin,KSUETEGEC5,2021-11-09,37352 BTU,53408 BTU,20.30557288169637,2028-11-20,2022-01-19,Active
50,18,Larson - Langosh Plant,"Deckow, Wintheiser and Tillman",EK5ENJYZON,2020-10-12,39572 BTU,42568 BTU,16.83157571538616,2030-02-05,2024-05-15,Under Maintenance
51,18,Kris Group Plant,Lakin - Boyle,TW861RT31J,2020-08-20,30123 BTU,56705 BTU,20.847935038661618,2022-06-14,2022-01-26,Under Maintenance
52,18,"Bruen, Hilll and Effertz Plant",Auer - Kuhic,UNSSNEWLUX,2024-03-27,39585 BTU,42294 BTU,18.112366399378256,2025-12-10,2024-08-19,Under Maintenance
53,18,Waters Inc Plant,"Kuhn, Casper and Becker",QQEP384N5N,2020-09-18,38249 BTU,55088 BTU,15.417052440377423,2022-10-28,2021-03-15,Under Maintenance
54,18,"Champlin, Auer and Rice Plant","Runolfsson, Legros and Bradtke",1RZQCYGZ9A,2022-03-24,44610 BTU,32855 BTU,14.572705260926462,2025-06-27,2022-10-01,Under Maintenance
55,19,Koss Group Plant,Corkery - Johnson,VVKH7LAZPD,2022-07-26,43933 BTU,59714 BTU,14.793595871745783,2026-10-20,2024-09-18,Active
56,19,Waters Inc Plant,"Brakus, Raynor and Streich",Y84FPZTJ9A,2023-07-06,57238 BTU,48218 BTU,18.41954640224483,2028-08-08,2024-06-30,Inactive
57,19,Hand LLC Plant,Halvorson - Jones,SYJYVPUDGI,2021-10-29,35312 BTU,26454 BTU,14.118124473114866,2028-10-11,2022-02-10,Inactive
58,19,Kohler - Shanahan Plant,"Auer, Weber and Hane",FXKOSOLPUG,2021-09-06,48171 BTU,24483 BTU,19.320806030634447,2026-02-04,2022-06-08,Under Maintenance
59,19,Beer - Smith Plant,Beatty - Yost,16MIIJZFOT,2021-08-14,51361 BTU,50324 BTU,14.190737098886778,2024-10-10,2023-10-14,Active
60,20,"Hills, Rosenbaum and Kertzmann Plant","Doyle, Christiansen and Jacobs",UPWSORG8IM,2023-07-21,55764 BTU,25126 BTU,13.244249049711769,2028-04-28,2024-07-23,Inactive
61,20,Harber Inc Plant,Pouros - Schuster,TA5SL0HKXM,2024-01-26,27191 BTU,53836 BTU,17.524158437952508,2030-04-12,2024-07-14,Under Maintenance
62,20,"Rohan, Jerde and Farrell Plant","Spinka, Stracke and Hartmann",PBQEPIOZVN,2021-08-26,24032 BTU,41732 BTU,19.6149218215594,2023-06-19,2023-06-23,Under Maintenance
63,20,"Mayer, Bayer and Rath Plant",Jast Group,Q48BDTXP1F,2022-04-30,40210 BTU,56334 BTU,16.15479423392786,2030-01-02,2024-08-21,Under Maintenance
64,21,"Larkin, Smith and Bauch Plant",Upton and Sons,VD6XF8VYAC,2021-08-21,39632 BTU,56442 BTU,15.70641375375505,2023-03-29,2021-10-15,Active
65,21,"Schumm, Weimann and Toy Plant","Quitzon, Kuhn and Purdy",NU9Q1N56FF,2021-04-13,54755 BTU,46569 BTU,20.015186643792447,2030-04-19,2021-09-09,Under Maintenance
66,22,Ledner and Sons Plant,Gerlach - Runte,CBLMS4KEA0,2020-05-07,57588 BTU,58477 BTU,14.086220836174828,2022-01-03,2023-02-18,Inactive
67,22,Quigley - O'Reilly Plant,Simonis LLC,QSVAWDH103,2020-11-14,28254 BTU,45142 BTU,17.745800398540425,2028-10-17,2021-05-28,Inactive
68,22,O'Kon - Johns Plant,Bashirian LLC,QQLDTRYA87,2021-05-10,49831 BTU,48831 BTU,15.602656435106221,2027-01-04,2024-02-11,Active
69,22,Carroll - Harvey Plant,Padberg - Tillman,T4NO1HBFZU,2020-11-24,45440 BTU,42813 BTU,17.928367079660873,2027-05-24,2024-08-21,Inactive
70,23,"Lockman, Hansen and Moore Plant",Rau Inc,KXFAH2CLG5,2023-10-04,53639 BTU,24524 BTU,18.040359135086476,2028-05-20,2024-05-26,Active
71,23,Kovacek - Gorczany Plant,Flatley - Schiller,3WGLPZ9PES,2021-06-20,51579 BTU,32852 BTU,20.474834415853348,2025-11-26,2024-02-23,Inactive
72,24,"Murray, Erdman and Reilly Plant","Reinger, Schmeler and Stamm",BYEBQL2CYK,2020-06-24,30925 BTU,39026 BTU,20.079387216395016,2030-08-08,2023-07-16,Under Maintenance
73,24,Marvin Inc Plant,Swaniawski Inc,MY1N77S3RC,2021-11-17,56345 BTU,42191 BTU,14.787144703317752,2027-07-28,2022-03-11,Inactive
74,24,"Jacobs, Harris and Boyer Plant","Doyle, Medhurst and Gorczany",WADNOL3KCW,2023-02-03,44112 BTU,42418 BTU,19.118157553682167,2025-12-12,2023-06-24,Under Maintenance
75,25,O'Kon - Fay Plant,Heller - Baumbach,HTDYABXPI1,2021-10-12,42472 BTU,30847 BTU,19.399984748065904,2028-06-26,2023-12-29,Active
76,25,Dach and Sons Plant,Becker Inc,OGJE76ZW3T,2020-10-06,42545 BTU,53482 BTU,16.24472072813804,2023-12-18,2024-04-30,Under Maintenance
77,26,"Grant, Windler and Fisher Plant",Kshlerin Group,QB0WBQGEFF,2021-09-07,31049 BTU,29072 BTU,19.082279159860335,2030-01-23,2024-02-03,Active
78,26,"Crist, Kiehn and Johnston Plant","O'Kon, Torphy and Auer",71YRNZQ7W0,2023-11-30,29954 BTU,26576 BTU,18.46236469697118,2029-07-30,2024-08-02,Inactive
79,26,Boyle and Sons Plant,Stroman - Goldner,Y5KILWZGNS,2022-07-24,55174 BTU,43068 BTU,20.837707219184633,2030-02-27,2024-02-06,Active
80,26,Weimann - Jerde Plant,"Olson, Pacocha and Smitham",WFKD6AWURV,2020-10-09,49449 BTU,29967 BTU,19.522626413488346,2025-10-24,2022-06-27,Inactive
81,27,Shanahan Group Plant,Raynor - Swaniawski,06HYJTWCDH,2024-04-27,59389 BTU,29734 BTU,16.380293294251114,2025-09-06,2024-08-21,Under Maintenance
82,27,"Kuhn, Lehner and Von Plant","Labadie, Weimann and Bahringer",XGJW9IPSIW,2024-02-03,56099 BTU,39286 BTU,20.5861880989995,2028-01-08,2024-05-24,Under Maintenance
83,27,"Stark, Kreiger and Lakin Plant",Rodriguez Inc,8MGGV4I7VZ,2022-02-13,38184 BTU,51146 BTU,20.925003450179005,2026-03-04,2024-07-23,Inactive
84,27,"Bins, McLaughlin and Parker Plant","Price, Heller and Kling",0QD6ED4RRD,2021-06-27,59936 BTU,49597 BTU,17.780972274371283,2029-01-16,2023-01-06,Inactive
85,27,Hane LLC Plant,Wintheiser Group,MVEHSPZJTR,2024-09-03,42048 BTU,52135 BTU,16.343249243936434,2029-11-24,2024-09-13,Inactive
86,28,Gibson - Heller Plant,"Abernathy, Hermann and Ledner",4GAVPKOCG7,2020-09-27,49187 BTU,48938 BTU,19.700195445881995,2026-04-14,2023-10-01,Under Maintenance
87,28,"Wisozk, Hahn and Schroeder Plant",Ward Group,JYQULVQVGM,2023-08-19,24019 BTU,53354 BTU,16.69687387570112,2027-04-25,2023-08-26,Inactive
88,28,"Daniel, Goldner and Wolff Plant",Sporer - O'Kon,YSUBF7AQAL,2023-03-07,59907 BTU,54515 BTU,14.33487872768928,2023-08-31,2023-04-20,Under Maintenance
89,28,Jakubowski and Sons Plant,Franey - Zboncak,PHILGOJSFC,2020-10-10,51955 BTU,41688 BTU,16.66503907353567,2027-11-23,2023-09-05,Active
90,28,Huels and Sons Plant,"Cummerata, Lebsack and Jaskolski",ONU2CGYKEG,2022-11-17,54797 BTU,47697 BTU,18.941250302958565,2026-05-28,2023-09-29,Under Maintenance
91,29,Hegmann LLC Plant,Blanda - Schulist,BW7FFRP0BS,2021-06-01,46313 BTU,39377 BTU,13.751785189889054,2026-10-31,2022-05-28,Active
92,29,"Beatty, Tromp and Kuphal Plant","Cormier, Rutherford and Lindgren",35CXQWTZRM,2022-02-13,51361 BTU,52458 BTU,19.60526487862291,2025-02-08,2022-09-23,Under Maintenance
93,29,Mante - Moen Plant,Smith - Balistreri,OWLNOSROPX,2020-04-07,24677 BTU,27480 BTU,16.215069572392373,2024-09-26,2020-11-17,Under Maintenance
94,29,Bode Group Plant,Jaskolski Group,5JN1RGD9J8,2020-06-20,36775 BTU,42712 BTU,19.43829855871148,2025-11-22,2023-11-19,Active
95,29,Dietrich and Sons Plant,Fadel Inc,QWQGWCVANO,2023-05-12,31014 BTU,56072 BTU,19.857533798544747,2025-07-31,2023-11-28,Under Maintenance
96,30,Hayes LLC Plant,"McCullough, Sporer and Anderson",PWHVKOSFLP,2021-01-06,54486 BTU,52232 BTU,14.349385782977077,2030-07-10,2024-05-29,Active
97,30,Hoeger - Flatley Plant,Bruen Inc,DYIAGY3TVV,2022-03-06,27314 BTU,36952 BTU,18.507074519016896,2026-03-12,2022-05-27,Active
98,30,Wehner - Gutkowski Plant,Schultz - Bradtke,NPOHYF6ALO,2021-08-12,41260 BTU,34919 BTU,19.749427722690513,2023-12-19,2022-02-03,Inactive
99,31,Aufderhar LLC Plant,"Murazik, Walker and Ebert",IDJP52KJHM,2021-07-05,54300 BTU,48086 BTU,20.032138122873285,2025-11-08,2024-01-15,Under Maintenance
100,31,Waters Inc Plant,"Abernathy, Dicki and Veum",A0PM6UZDSL,2022-04-07,47943 BTU,28232 BTU,17.552306569588016,2030-11-20,2023-09-08,Under Maintenance
101,31,Torphy and Sons Plant,"Hamill, Grant and Balistreri",X07AUSTAFC,2024-04-17,58024 BTU,33885 BTU,15.500001895624113,2029-06-27,2024-06-06,Under Maintenance
102,31,"Stamm, Zboncak and Emmerich Plant",Keebler and Sons,AGRPLDZSBL,2022-02-22,36824 BTU,47850 BTU,14.947988159139701,2024-06-16,2022-05-19,Active
103,31,Zieme - Ernser Plant,"Zulauf, Sporer and Ankunding",QXJWZMG7J9,2021-03-09,52620 BTU,50936 BTU,15.253738828983881,2023-05-24,2022-06-15,Under Maintenance
104,32,Hyatt - Bechtelar Plant,Haley Group,FSLPDTSR7W,2020-02-26,37887 BTU,46696 BTU,13.59170034221234,2026-03-04,2023-11-04,Under Maintenance
105,32,Reichert - Halvorson Plant,Muller Inc,RKFJJMS9GC,2020-07-21,56208 BTU,53251 BTU,13.135204789556893,2022-03-22,2023-11-01,Active
106,33,Purdy - Bruen Plant,"Reynolds, Corkery and Fritsch",KET3TU8C3O,2024-06-21,49095 BTU,59880 BTU,18.63324924571727,2029-09-20,2024-09-23,Inactive
107,33,Krajcik - Bruen Plant,"Nienow, McLaughlin and Smitham",AHXRT8KUH2,2022-05-12,59625 BTU,36034 BTU,17.54406673947083,2030-03-13,2023-04-23,Under Maintenance
108,33,Waelchi - Kovacek Plant,"Wiza, Abshire and Brown",HPDNXJ4D0M,2024-01-30,27172 BTU,39166 BTU,13.734621390907083,2029-06-09,2024-05-28,Inactive
109,33,Thiel and Sons Plant,"Mosciski, Purdy and Goodwin",ZGMMURAGSF,2022-07-12,58719 BTU,48367 BTU,20.772685959003226,2026-06-23,2023-09-09,Inactive
110,34,"Buckridge, Botsford and Lemke Plant","Leannon, Corkery and Gottlieb",TKDXVAPYZ7,2024-09-04,39423 BTU,47798 BTU,16.792253712020287,2028-01-17,2024-09-05,Inactive
111,34,Bruen Group Plant,Tremblay - Bosco,YILNEOHDEF,2020-09-21,28966 BTU,58908 BTU,16.110412410508854,2028-10-10,2022-11-14,Under Maintenance
112,34,Kuhic - Murray Plant,Beier - Rowe,TCLHGKMI8Q,2021-09-29,44399 BTU,26652 BTU,20.927693048155007,2028-10-23,2024-03-27,Active
113,34,Rosenbaum - Lebsack Plant,"Mraz, Romaguera and Stiedemann",VNYNXXMP2Y,2021-10-06,52274 BTU,44873 BTU,20.875147945963,2024-09-13,2024-03-26,Active
114,34,"Feeney, Sauer and Crooks Plant",Emard and Sons,AZJHCW1VS7,2023-04-07,33400 BTU,28343 BTU,18.3709554791377,2025-03-29,2024-02-10,Under Maintenance
115,35,Greenholt and Sons Plant,Ondricka - Reinger,NIZACSKQ3H,2021-10-27,32366 BTU,28807 BTU,18.86056264644015,2030-01-25,2024-08-13,Active
116,35,Heathcote LLC Plant,Hamill - Rowe,CW3RJQ1LZK,2023-03-14,30126 BTU,59850 BTU,18.391700371088493,2023-10-04,2023-11-02,Under Maintenance
117,35,"Schamberger, Rutherford and Dach Plant","Franecki, Schmidt and Hirthe",CL0YUD1TLU,2024-03-14,32476 BTU,27248 BTU,19.399279953491757,2026-08-24,2024-07-14,Inactive
118,36,Barton LLC Plant,Sawayn Group,A7E8VVOW0B,2023-10-29,47355 BTU,53980 BTU,18.34916883016685,2024-02-12,2024-01-02,Under Maintenance
119,37,"Oberbrunner, Reynolds and Lehner Plant",Bruen and Sons,VFWMMJG3F3,2023-07-31,26220 BTU,30451 BTU,14.89198791879554,2026-05-29,2024-07-04,Inactive
120,38,Wuckert - Lakin Plant,Jenkins Group,PVHCIHEV74,2023-03-25,37814 BTU,48187 BTU,18.05004016539455,2030-11-04,2023-04-02,Active
121,39,Osinski - Metz Plant,Daugherty - Raynor,QWXHB7HSRM,2023-09-13,29973 BTU,47685 BTU,19.58694613724503,2024-04-27,2024-01-05,Inactive
122,39,"Crooks, Hills and Reichert Plant",Pacocha Group,4AML0T7PLD,2020-12-24,50870 BTU,29195 BTU,14.8076006770587,2021-10-28,2021-02-03,Under Maintenance
123,39,"Schimmel, Gorczany and Bednar Plant",Ernser - Shields,5KQHNLBBNW,2023-07-27,31201 BTU,30446 BTU,17.13675541677869,2026-03-18,2024-06-16,Inactive
124,39,Herman - West Plant,Tillman - Lehner,XPVM8KGDWQ,2024-08-05,44758 BTU,24247 BTU,17.980846103643966,2030-08-14,2024-08-13,Inactive
125,39,"Feeney, Braun and Terry Plant","Beier, Rath and Hane",E4YWHPUUVE,2024-02-06,53129 BTU,43346 BTU,18.428269947621242,2024-03-05,2024-07-10,Inactive
126,40,Schowalter - Armstrong Plant,Rice Group,IQDCPYP8AZ,2021-05-22,53812 BTU,46845 BTU,16.450143747026807,2028-03-09,2022-10-17,Active
127,41,"Doyle, Anderson and Buckridge Plant",Ebert - Stokes,QTNDEW4KLK,2021-01-21,31547 BTU,53495 BTU,15.493580366373315,2028-07-28,2023-02-27,Under Maintenance
128,42,Tromp - Boehm Plant,"Kozey, Kuhn and Kutch",JYB5SAIPP8,2021-02-03,37698 BTU,39930 BTU,18.95941898971624,2021-08-11,2021-11-26,Under Maintenance
129,42,"Dietrich, Ritchie and Hand Plant",Hahn Group,KT6B3NNCU0,2020-08-16,55342 BTU,59285 BTU,15.545190866807785,2021-12-31,2023-11-19,Active
130,42,"Ward, Borer and Erdman Plant",Brown - Mohr,XQX8VVPLG2,2020-05-30,26436 BTU,26584 BTU,18.8489959023609,2029-10-05,2021-08-30,Under Maintenance
131,42,"Schoen, Sporer and Beier Plant",Jaskolski - Howe,F52X7JI0NW,2020-09-20,54775 BTU,29727 BTU,17.61494037984443,2026-10-07,2022-11-23,Under Maintenance
132,43,McKenzie - Beier Plant,Goldner - Hand,IT9VZHXFWX,2024-03-12,51552 BTU,41617 BTU,14.84519508266257,2027-05-01,2024-06-18,Active
133,43,Hane - Gutmann Plant,"Kutch, Ruecker and Wiza",SADNSHSNPD,2021-07-01,58422 BTU,56862 BTU,16.51492099773709,2025-10-02,2021-08-14,Active
134,44,"Hahn, Hintz and Zboncak Plant",Murray LLC,WB8DXRRLUK,2024-02-18,41378 BTU,31916 BTU,13.021618036652507,2028-02-19,2024-02-24,Active
135,44,Brown - Carroll Plant,Legros - Beier,VU4I7TDMCG,2021-11-06,47269 BTU,45598 BTU,16.498321045699072,2025-11-24,2024-02-25,Under Maintenance
136,44,Steuber LLC Plant,Aufderhar - Daniel,7KQRAOJN0S,2024-03-05,46784 BTU,25034 BTU,13.418084435738173,2026-12-30,2024-07-13,Active
137,45,West - Witting Plant,Dare Inc,UCIUYECYJG,2023-06-06,27422 BTU,59527 BTU,14.749537801425173,2026-04-16,2024-04-22,Active
138,45,Gusikowski - Bergstrom Plant,Upton - VonRueden,LA6EA1TQZD,2021-04-04,28165 BTU,25522 BTU,16.894035757192448,2028-09-23,2023-09-24,Active
139,45,Hills Inc Plant,Treutel - Hoppe,FO38AMYQAU,2023-01-14,55542 BTU,47378 BTU,20.777623409050218,2027-10-31,2023-06-04,Under Maintenance
140,45,McGlynn Inc Plant,Mosciski - Powlowski,K1WV4CQQD2,2023-07-15,51515 BTU,48107 BTU,15.636026440867896,2024-09-28,2023-10-16,Active
141,46,Von and Sons Plant,Christiansen - Rutherford,D2ENFYNBOH,2024-02-26,45710 BTU,26546 BTU,13.976530551950571,2027-09-19,2024-03-14,Inactive
142,46,"Hoppe, Schamberger and Lang Plant",Leffler - Batz,YQC3N5ZLFG,2022-06-30,37691 BTU,38139 BTU,13.609994669136196,2026-12-06,2024-06-17,Under Maintenance
143,46,"Kautzer, Frami and Nitzsche Plant","Roberts, Swaniawski and Buckridge",REEMXYXOUE,2022-04-04,44219 BTU,44703 BTU,14.317201615838492,2023-05-13,2022-04-28,Inactive
144,46,"Ziemann, Rempel and Beier Plant",Gutmann Inc,3XMYYWZIN2,2024-09-12,30182 BTU,36664 BTU,13.066870860347828,2029-03-11,2024-09-23,Inactive
145,47,Schiller - Cummerata Plant,Anderson LLC,LH3UGVKX3A,2022-10-23,54866 BTU,34050 BTU,13.8639719270746,2028-03-31,2023-03-30,Inactive
146,47,"Schmeler, Becker and Jakubowski Plant","Kling, Baumbach and Miller",VYFLJQMPBI,2021-08-07,59033 BTU,28475 BTU,17.292027567634207,2023-10-07,2021-11-02,Active
147,47,Langosh - Stamm Plant,"Bartoletti, Maggio and Purdy",ZMB1NWTXFR,2023-05-05,35867 BTU,45693 BTU,20.85459977268399,2025-04-09,2024-05-06,Inactive
148,47,Dooley and Sons Plant,Johnston - Franey,L0VWIIOU5C,2023-07-13,25176 BTU,28268 BTU,16.813096350464654,2028-02-11,2024-01-05,Inactive
149,47,Bailey - Sipes Plant,Nitzsche - Champlin,YCINT4MQAO,2022-07-29,56524 BTU,47042 BTU,15.6564030272387,2029-05-05,2023-01-04,Inactive
150,48,Kshlerin LLC Plant,Parker LLC,6OSYHNPUFE,2024-06-26,44212 BTU,41164 BTU,16.933318024085175,2029-04-04,2024-08-01,Under Maintenance
151,48,Keeling - Dare Plant,McDermott LLC,QQ6VOGIOWS,2024-01-24,53285 BTU,48423 BTU,18.609630863178737,2024-07-29,2024-09-06,Inactive
152,49,Roberts - Kilback Plant,Frami - Harvey,VRSHQHRAFY,2023-09-30,43475 BTU,41004 BTU,14.119766935533963,2025-05-22,2024-02-18,Active
153,50,Bergnaum LLC Plant,Wilkinson - Becker,QNURSRSVNQ,2022-06-15,40020 BTU,41081 BTU,14.47719806546275,2029-03-25,2023-10-21,Active
154,50,"Block, Stokes and Ledner Plant",Morar and Sons,ASU7LMDQ7W,2020-06-28,24612 BTU,47407 BTU,17.03619732693131,2025-07-17,2023-02-09,Active
