request_id,customer_id,equipment_id,request_date,description,priority,status,assigned_technician
51,18,89,2023-06-21,Ocer ceno voluptatem valetudo illum accommodo vilicus xiphias.,Low,In Progress,29
52,18,133,2024-06-24,Adinventitias crux carmen.,Low,Closed,13
53,18,53,2024-02-27,Sublime impedit adfero atrox umquam laborum adsidue.,Medium,Closed,30
54,18,170,2024-07-15,Amplexus sumptus deorsum doloribus voluptas velit reiciendis speciosus.,Medium,In Progress,8
55,18,159,2024-02-25,Tumultus degenero thesaurus.,Emergency,In Progress,48
56,19,36,2024-09-20,Deputo canis supellex.,Emergency,Closed,20
57,19,131,2023-01-13,Administratio corrumpo tepidus tamdiu cauda.,Emergency,In Progress,26
58,19,106,2024-04-10,Culpa deputo tolero aliquam comprehendo.,Low,In Progress,20
59,19,151,2023-10-01,Antea aperio ullus accusator casus apostolus aequus accedo.,Emergency,In Progress,16
60,20,93,2024-08-26,Cunabula velit campana toties vestigium adsuesco vel amiculum.,Medium,Open,33
61,20,44,2023-02-26,Ater esse desparatus utrum ut adhuc soluta avarus virtus.,Low,Open,45
62,20,43,2022-04-27,Accendo magnam corrigo vindico civitas deporto clarus adicio modi temporibus.,Emergency,In Progress,13
63,20,177,2022-05-31,Cohaero adflicto talus vulgaris coepi tricesimus aurum tot officiis.,Medium,Open,46
64,20,35,2022-08-28,Vita synagoga quis curtus adulescens verumtamen curriculum apparatus illo.,Medium,In Progress,15
65,20,40,2022-08-06,Ipsa vestigium dapifer.,Medium,Closed,13
66,20,69,2024-01-10,Subseco summa bene.,Low,In Progress,28
67,21,125,2024-09-10,Pauper spectaculum summa.,High,Open,41
68,21,204,2024-08-12,Creta earum deleniti cognatus claudeo.,High,Closed,19
69,22,28,2023-09-14,Vilicus caveo substantia volubilis delego perferendis conforto arbustum.,Low,Closed,4
70,22,113,2022-09-29,Terminatio ait thalassinus ulciscor turba totidem adsidue varietas autus statim.,Low,Open,2
71,25,45,2024-06-25,Ex dapifer succedo abstergo articulus admitto.,Emergency,Open,44
72,25,244,2023-06-29,Certe averto vulgus surgo tenuis stipes tum aestus amplus.,Medium,Closed,15
73,25,39,2023-04-23,Balbus cerno summa adiuvo.,High,Open,22
74,25,55,2024-03-23,Sophismata caelestis desino bibo veritatis adiuvo sursum.,Low,Open,39
75,26,17,2023-09-07,Corpus usitas adsuesco.,Emergency,Open,17
76,26,213,2022-10-05,Tonsor quas deprecator.,Medium,In Progress,33
77,26,114,2024-05-22,Rem volaticus decretum tego celer toties balbus adicio aut vicissitudo.,Low,In Progress,23
78,26,153,2020-05-05,Sint valeo officiis attollo cresco tenax dicta vergo vomica debitis.,High,Closed,25
79,26,93,2023-10-16,Vulgo deduco arcesso vere desolo capillus ultio alveus cupressus cuius.,Low,Open,25
80,26,238,2021-12-08,Thalassinus cunae tenus cuppedia conspergo victus derelinquo clementia vespillo contego.,Low,Closed,47
81,26,104,2023-06-25,Socius urbanus tergum conatus.,High,Open,9
82,27,277,2022-07-29,Cetera arbustum at coerceo qui.,High,In Progress,18
83,27,112,2022-04-14,Arma explicabo summopere.,Medium,Open,23
84,27,32,2024-09-04,Umbra altus tubineus distinctio ceno crinis cresco contabesco umbra.,Medium,Open,45
85,28,96,2024-05-22,Creator sponte minima truculenter totam defleo veritas congregatio.,Low,Closed,1
86,28,127,2023-01-22,Adversus ventito testimonium tamisium laudantium abscido.,Low,Closed,20
87,28,3,2022-09-07,Consequuntur ipsum pecus voluptates stipes certe.,Low,Closed,27
88,28,72,2024-07-13,Tui bellicus voro conscendo cauda ut cicuta curto thema contego.,Low,In Progress,22
89,29,243,2022-10-08,Tum cerno defero dolor beatus versus comburo amiculum.,Emergency,In Progress,20
90,30,180,2022-10-26,Accendo territo vulgus vito placeat capio creptio praesentium suscipio.,Emergency,Open,50
91,30,185,2023-01-20,Temeritas defungo aufero deinde truculenter animadverto voluntarius.,Low,In Progress,1
92,30,95,2023-08-29,Vulnus coadunatio custodia undique curvo odit cumque.,Medium,In Progress,21
93,30,274,2024-08-14,Congregatio suffoco error incidunt.,High,In Progress,36
94,31,319,2024-05-26,Ars tero cervus degenero cometes agnosco calamitas.,Emergency,Closed,45
95,32,274,2024-07-07,Delectus perferendis aliquid aufero facere aggredior vere aperiam demo arbor.,Low,Closed,31
96,32,176,2024-04-21,Uberrime accusator crinis villa tego tubineus animus teres varietas fugit.,Medium,Open,4
97,32,9,2024-04-27,Ducimus numquam alius ubi.,Medium,Closed,2
98,34,2,2023-05-14,Desparatus dicta pel abscido umerus vapulus hic advoco.,Emergency,Open,5
99,35,237,2023-06-24,Nisi animi succurro deludo totidem apud tepesco acies carus adversus.,Medium,Open,45
100,35,245,2022-07-12,Tyrannus crudelis accommodo argentum tabesco denuncio aeger pecto alioqui delectatio.,High,In Progress,2
101,35,56,2021-10-19,Attero volva vito amplexus.,High,In Progress,21
102,35,133,2022-11-02,Coma optio curto adamo apud eligendi damno conturbo caveo tristis.,Emergency,Open,15
103,35,103,2023-02-16,Verumtamen ater abduco audeo accendo aliquam alius thymum.,Emergency,Closed,23
104,35,125,2021-06-06,Abduco ater amaritudo aegrus creber.,Low,Open,36
105,35,317,2024-07-18,Alioqui conculco quam debilito supra alias tenax timidus tam.,Emergency,Open,30
106,35,89,2024-07-13,Acies uredo accusantium.,Low,In Progress,1
107,35,71,2024-06-11,Infit accusantium attonbitus temeritas.,High,In Progress,33
108,37,55,2024-04-20,Casso fugiat ascit unus odit maiores.,Medium,In Progress,36
109,38,377,2024-08-18,Testimonium cernuus tenuis cupio minima.,Emergency,Closed,43
110,38,87,2024-06-16,Sordeo ipsa caelestis patior adfero tero consectetur eius.,Medium,Closed,40
111,38,276,2022-05-12,Contabesco est adfero absque theatrum animi vilitas vinum.,High,Open,20
112,38,134,2022-09-01,Vulticulus sufficio deripio cohibeo arbitro laboriosam.,High,Closed,7
113,39,172,2024-09-15,Aurum error alii aperte nemo averto acidus suffoco arguo abutor.,Low,Open,7
114,40,425,2024-08-08,Perspiciatis cometes sustineo argumentum summopere.,High,Closed,25
115,40,234,2024-07-22,Sint aureus blanditiis.,Low,Closed,26
116,40,99,2024-01-01,Libero terreo enim expedita angustus volup torrens vel.,Low,Closed,31
117,40,5,2024-05-01,Dedecor vorax approbo torqueo villa pauper articulus eum deporto admoveo.,Emergency,Closed,29
118,41,19,2022-04-18,Voluptatem stultus turpis sonitus cauda suadeo velut.,High,In Progress,24
119,42,355,2024-05-26,Creptio conor tabesco.,High,Open,36
120,42,439,2024-06-04,Utique repudiandae vilis caput utroque.,Medium,Closed,44
121,43,69,2024-01-22,Cometes tam coniuratio acquiro.,Low,Open,4
122,43,157,2023-10-02,Vos arbitro adaugeo villa aspernatur depraedor doloribus.,Emergency,Open,17
123,44,238,2023-08-23,Certe copia comes tersus admoveo suasoria amiculum traho quasi alo.,High,Open,30
124,44,73,2024-08-16,Eum coadunatio cumque admoveo creta valeo adsum sequi.,Medium,In Progress,13
125,46,258,2023-05-12,Carus avaritia curia suspendo.,High,Closed,27
126,46,194,2023-10-15,Tribuo solium causa varius studio avarus adaugeo defero atrox atrox.,Low,Closed,14
127,48,119,2022-04-03,Cui argumentum demitto quia.,Emergency,Closed,15
128,48,509,2023-03-30,Doloribus uxor caecus voluntarius subiungo copiose tego caecus cruentus.,Medium,In Progress,15
129,48,480,2023-12-19,Aufero tredecim tunc ocer articulus varius conicio apud libero.,High,Open,26
130,48,59,2024-05-08,Cibo praesentium deserunt despecto abduco magni voro candidus teres solutio.,Medium,Closed,18
131,48,263,2024-08-27,Celo coniecto quas avarus.,Emergency,In Progress,24
132,49,253,2022-07-13,Administratio cariosus tantillus volup quod acquiro coniecto advenio sum verto.,High,Open,21
133,50,152,2021-09-10,Pax at tempore ago armarium depraedor tempore adimpleo aggredior.,High,Closed,13
134,50,241,2023-11-27,Non voveo blanditiis deinde sumptus maxime aiunt solutio aestus thymbra.,High,Closed,12
135,50,229,2023-06-17,Volaticus expedita talus cattus.,High,Closed,6
136,50,232,2024-08-12,Praesentium demulceo vulgaris quam adipiscor statua clamo.,Emergency,In Progress,15
137,50,288,2023-10-12,Auditor thorax cohors thesaurus depraedor sol tripudio tertius sophismata aduro.,Medium,Closed,4
138,50,260,2021-04-19,Attero tollo adeptio thorax cogo aro voveo conspergo teres.,Emergency,In Progress,7
139,51,258,2022-01-14,Tredecim summopere torqueo copia.,Low,Open,45
140,51,316,2023-12-07,Capillus clam sumo.,Emergency,Open,9
141,53,314,2022-06-05,Usitas eos audacia placeat quaerat.,Medium,In Progress,12
142,53,99,2023-12-17,Crustulum vehemens auxilium cura acervus aggredior.,Emergency,Closed,44
143,55,140,2023-08-13,Uxor virga in appono aspicio textus.,Low,Closed,33
144,55,254,2023-11-01,Curvo eos turbo dedico vita ambulo quas.,Emergency,Open,15
145,55,92,2021-08-13,Capillus vomica succurro tenus tepidus studio canis videlicet pecco synagoga.,Emergency,Open,45
146,56,372,2023-12-29,Quia voveo deduco.,High,Open,50
147,56,555,2023-08-14,Audeo tolero convoco comprehendo adversus acceptus volubilis.,Emergency,Closed,46
148,56,417,2023-09-13,Succedo vobis ascit.,Emergency,In Progress,1
149,57,514,2023-11-12,Exercitationem vester creptio.,High,Open,46
150,57,142,2021-11-15,Vilitas adhuc tutamen comitatus attero sum vulticulus.,Low,Closed,24
151,57,244,2023-12-04,Suffoco casso solvo soleo deprecator fuga vulgaris.,Medium,In Progress,18
152,57,423,2023-06-12,Recusandae cubitum adsuesco vulgivagus modi spoliatio celo ager tenetur statim.,Low,Open,31
153,58,12,2024-05-17,Demo suppellex abscido desolo coadunatio non vero aequitas amor tollo.,Medium,Closed,42
154,58,127,2023-12-09,Vix maxime triduana corrupti ullus tersus tutis aro vicissitudo.,Medium,In Progress,2
155,58,225,2023-12-29,Amiculum degero ancilla basium accusator tam harum.,Medium,In Progress,32
156,58,347,2024-08-23,Adinventitias usitas adhuc confido benigne utpote adulatio.,Low,In Progress,37
157,58,155,2024-07-28,Amoveo contabesco somniculosus comes dedico claro veritatis volva tondeo alo.,Medium,Open,12
158,58,366,2024-09-21,Usitas cattus voluptate una carbo undique arbor triumphus.,Emergency,Open,12
159,58,42,2024-07-11,Stipes alioqui campana summa tertius.,Low,In Progress,18
160,58,28,2024-05-21,Accusantium thesis urbanus aiunt exercitationem vespillo adiuvo bos tantillus adimpleo.,High,Open,31
161,58,77,2024-09-03,Utpote tum iure debeo antepono debeo calculus.,Low,Closed,13
162,59,516,2023-10-16,Adsuesco sustineo a nisi.,Low,In Progress,21
163,59,51,2023-12-29,Solus varietas dolore brevis.,High,In Progress,9
164,59,589,2023-12-18,Uterque adipiscor ex quasi spiritus.,Low,Closed,46
165,59,241,2020-08-10,Cognomen delibero porro conqueror convoco stipes aggero vigilo appono animi.,Medium,Open,7
166,59,355,2024-06-07,Coepi adhuc adiuvo admitto ultio cunctatio annus versus peccatus.,Emergency,In Progress,2
167,60,219,2023-02-28,Alter volubilis aequus velociter.,High,Closed,1
168,60,621,2024-03-18,Esse uter admoneo annus spiritus provident.,High,Open,39
169,60,56,2024-01-19,Thermae ara tantillus curriculum cogito bibo vulnus cura tabula impedit.,High,Open,12
170,60,117,2024-09-04,Virtus damnatio voluptas vapulus approbo depulso.,Low,Closed,19
171,61,425,2024-09-17,Traho derideo valeo tersus aegrus in corrumpo thesaurus synagoga.,Medium,Closed,38
172,62,286,2024-06-14,Vos depopulo tergo spiculum verto suasoria centum.,Emergency,Closed,30
173,63,440,2023-11-03,Alienus torrens coruscus artificiose.,Low,Closed,8
174,63,407,2024-09-18,Doloremque brevis conitor.,Emergency,In Progress,31
175,63,478,2023-12-20,Vaco tredecim valde cado adficio deorsum.,High,In Progress,6
176,63,73,2024-09-10,Vero absorbeo absum nobis depromo amitto ademptio.,Low,Closed,49
177,63,98,2024-08-26,Aeger magnam ipsa viridis placeat arcus velit beneficium coniecto.,Medium,Closed,47
178,64,644,2023-04-28,Undique thymbra ascisco.,Medium,Closed,43
179,65,2,2023-11-14,Vapulus crur altus defetiscor coma quibusdam delibero.,High,Closed,25
180,66,677,2023-01-23,Adstringo adsuesco corporis amet conduco sit.,Low,Closed,9
181,66,188,2022-06-28,Quod annus venia ultra verumtamen calamitas.,High,Closed,34
182,66,406,2024-03-11,Libero ullus ex substantia convoco censura.,Medium,Closed,45
183,66,198,2024-05-24,Tergiversatio thesis absorbeo tego perferendis.,Medium,Closed,39
184,66,595,2024-02-26,Accusator desidero cedo contra distinctio sit explicabo aduro considero abduco.,High,Closed,16
185,68,116,2021-01-31,Vitae vado tyrannus turbo calcar.,Medium,Open,20
186,69,143,2021-01-18,Torrens arto vae argumentum.,High,In Progress,29
187,69,101,2023-03-09,Circumvenio valde aegrus adiuvo.,Low,Open,47
188,69,348,2022-03-04,Celo tempore basium defessus coruscus cohibeo.,Medium,Open,22
189,71,686,2023-02-14,Adflicto aqua audax tyrannus asper artificiose crepusculum cado conor admiratio.,Low,Open,17
190,71,100,2021-04-26,Sustineo triduana stipes sit.,Low,Closed,41
191,71,446,2023-09-06,Trado sunt adnuo assumenda defleo.,Emergency,Open,35
192,72,73,2022-06-28,Canonicus alii hic aveho tolero assumenda.,Low,Closed,32
193,72,661,2022-07-08,Aranea crebro usitas.,Emergency,Open,19
194,72,229,2024-08-01,Conservo attollo saepe absorbeo cohaero cultellus doloribus usus caste.,Medium,Closed,22
195,73,635,2023-02-16,Appositus a ceno.,High,In Progress,32
196,73,253,2022-10-31,Inventore officiis campana cursus vomica neque.,Medium,Open,11
197,73,462,2024-01-02,Speciosus tremo expedita deserunt explicabo alii valde tubineus currus talis.,Medium,Closed,3
198,73,351,2022-09-26,Thymum defetiscor via magnam trado derideo denuo sto vester.,Emergency,Open,19
199,74,101,2023-10-29,Porro acidus acer supplanto.,Medium,In Progress,24
200,77,498,2023-10-12,Desipio aureus tutis provident adinventitias convoco tersus attollo sit.,Emergency,Open,19
201,77,190,2024-05-20,Soleo temporibus abstergo aperiam.,High,In Progress,48
202,77,120,2022-04-25,Autem sulum adamo alo canto pecto tego candidus.,Low,In Progress,30
203,78,363,2023-06-01,Chirographum arbustum tamen celo cruciamentum brevis et trans.,High,Open,23
204,79,189,2024-02-14,Vito autem umerus vulticulus.,Low,Open,35
205,79,378,2023-03-26,Denego veniam vergo.,Low,Closed,2
206,80,511,2023-02-21,Valens numquam rerum ara cruentus ait ultra.,High,In Progress,27
207,80,663,2022-06-06,Strues cetera peior demitto amo aeneus considero utrum.,Emergency,In Progress,3
208,80,445,2021-04-24,Utpote vesco sui tempora quibusdam usque.,High,In Progress,49
209,80,741,2021-09-18,Cito benigne articulus vinum patria tricesimus tibi adstringo carbo animus.,Medium,In Progress,20
210,80,215,2024-01-05,Sequi ullus cavus cedo deduco.,Medium,In Progress,28
211,80,663,2023-01-05,Administratio admoveo absorbeo tyrannus acies.,Low,Closed,27
212,80,745,2024-08-15,Thalassinus viriliter correptius calcar curso suspendo sint vulnus conitor vomer.,High,In Progress,16
213,81,736,2024-06-25,Inflammatio ducimus vae adeptio demulceo derideo voluptatem adopto celer umbra.,Medium,Closed,19
214,82,650,2022-05-19,Vulgus provident tutamen similique caute crux perspiciatis.,Medium,Open,41
215,82,729,2024-09-05,Conicio votum doloremque speculum ulciscor bardus torrens conatus crepusculum.,High,In Progress,37
216,82,854,2023-04-19,Convoco stultus velum varius stillicidium balbus.,Low,In Progress,34
217,82,530,2023-08-29,Terminatio ad asporto assumenda trucido stillicidium aeger arcesso.,Medium,Open,45
218,83,187,2022-07-23,Sint angustus patruus vita.,High,Closed,21
219,83,140,2024-02-15,Verto tubineus antiquus.,Medium,In Progress,31
220,83,126,2024-07-06,Suscipio corroboro arto atavus.,High,Closed,48
221,84,299,2024-06-25,Triduana cunabula ter subnecto comburo doloribus tribuo nihil claudeo terror.,Emergency,Closed,28
222,84,465,2022-10-04,Mollitia nulla confido sit fugiat depromo speculum alienus cimentarius tantum.,Emergency,Closed,48
223,84,212,2024-01-25,Antea suus turbo amo sponte.,Low,In Progress,24
224,84,796,2024-01-15,Inventore amiculum desipio cibus.,Emergency,Open,30
225,84,573,2022-12-16,Cornu curriculum claro reprehenderit.,Medium,Closed,2
226,86,817,2023-12-14,Optio ultio conqueror curo calculus apto corrupti conscendo assentator.,Emergency,Open,7
227,86,813,2023-01-26,Despecto cresco versus vilis arceo.,Medium,Open,28
228,87,292,2024-03-26,Adulatio magni adflicto fugit tabernus volubilis baiulus reprehenderit.,Medium,Closed,28
229,87,299,2023-06-05,Spero optio volaticus paulatim anser considero sol thalassinus.,High,Open,10
230,87,21,2022-05-14,Aggredior benevolentia convoco corporis cariosus clarus tempus laborum repudiandae.,Emergency,In Progress,27
231,87,306,2023-10-24,Inventore ex thymbra tondeo tener solitudo damno commodo.,Medium,Closed,28
232,87,338,2023-11-25,Carpo caute vitium theca conatus somnus beatae suggero velociter aequitas.,Emergency,In Progress,18
233,87,309,2023-10-14,Comminor vir denique truculenter cattus aequus amo iure.,High,Open,20
234,88,747,2023-04-13,Theologus baiulus utrum advoco sum.,High,In Progress,32
235,88,761,2023-07-19,Sollicito nemo corroboro recusandae tracto verecundia.,Emergency,In Progress,35
236,88,886,2022-01-09,Tamen conscendo tergo textilis trado sublime autem timor vulnero conculco.,High,Closed,32
237,89,251,2022-12-16,Amita amita depopulo defluo versus pauci cernuus esse.,Low,Closed,3
238,89,384,2024-01-05,Tres summa stillicidium sperno tantum coma laborum adhuc ipsam asper.,Low,Closed,37
239,89,225,2022-09-19,Supra infit tripudio provident dolorem vir aegrus.,Emergency,Closed,6
240,90,524,2023-10-06,Tumultus vado catena tonsor abscido volubilis attollo temperantia.,High,Open,22
241,90,94,2023-01-18,Decerno altus tondeo verto.,High,In Progress,7
242,90,262,2022-12-09,Viridis certe beatae considero adficio verbera delectus adhuc taceo.,High,Closed,19
243,90,444,2024-07-12,Cariosus arca umerus caelestis audeo conservo.,Low,Closed,34
244,90,384,2024-04-27,Illo coniecto rem cunae toties demergo.,High,In Progress,39
245,90,602,2024-06-23,Bos adeptio super advenio.,High,In Progress,20
246,91,247,2020-11-14,Admitto cornu inflammatio.,Low,Closed,8
247,91,83,2020-09-30,Qui corpus deputo adduco labore auxilium vito bestia accusantium succedo.,Emergency,In Progress,32
248,91,871,2023-07-11,Vulgaris centum verto astrum curso vorago deprecator velit vero.,Medium,Open,8
249,92,783,2023-03-18,Pecus terminatio capio summopere.,Emergency,Closed,7
250,92,172,2023-03-17,Argumentum terra creber demoror versus.,High,Open,12
251,92,126,2024-04-20,Repellat sol amicitia alii fugiat patior crux.,Low,Closed,23
252,92,311,2021-06-18,Tabesco coruscus confugo coma utroque tibi aedificium.,Low,Closed,6
253,93,428,2021-10-10,Aut dens accusator vero callide cibus depopulo.,High,Open,30
254,93,188,2022-03-18,Arca auditor aliquid stillicidium thesaurus capitulus tutamen venio animi.,Medium,In Progress,45
255,93,887,2024-08-21,Quod comis suus.,Low,In Progress,31
256,94,195,2023-09-23,Dolor tam torqueo delibero candidus.,Emergency,Closed,30
257,94,552,2023-01-17,Correptius tergiversatio agnosco cibus asper tamdiu terminatio undique.,High,In Progress,19
258,94,16,2022-09-29,Cavus cibo cruentus adfero combibo maxime.,Emergency,Closed,18
259,94,263,2024-03-28,Molestias voro adsuesco ea combibo.,Emergency,In Progress,36
260,94,438,2023-04-26,Tamen brevis pectus pax acer aetas.,High,In Progress,40
261,94,427,2022-05-14,Sub calculus conor creber cupressus.,Low,In Progress,22
262,94,338,2024-07-25,Denique calco terga sit defluo admoneo creta callide ventito id.,Low,In Progress,23
263,95,616,2024-06-27,Quaerat averto viriliter vestigium depereo.,Medium,Open,39
264,95,822,2022-09-02,Solio eum celebrer angulus confido cupio coerceo catena desolo.,Emergency,Closed,12
265,96,1019,2024-09-21,Talio cohors debilito suspendo totus commodo caritas bestia sponte suus.,Low,Closed,39
266,96,944,2024-07-29,Tabgo sint alii eum decerno eos tepidus.,Emergency,Closed,31
267,96,727,2022-09-05,Sufficio strues adimpleo cerno vado.,High,Closed,25
268,96,831,2023-03-15,Tener peccatus autem cattus spiculum nam crepusculum sollers at autem.,Low,In Progress,38
269,97,625,2024-01-03,Consuasor amissio turbo aperiam paens cornu ducimus unus curso.,Medium,In Progress,21
270,97,973,2023-08-30,Vereor comptus suscipio thesaurus culpo somniculosus crux validus tenax.,Low,Open,13
271,98,844,2024-07-10,Arbustum via deserunt.,Medium,In Progress,32
272,99,856,2024-08-11,Demo talis vicinus copiose vigilo subiungo maiores cicuta ustilo.,High,Closed,32
273,100,732,2024-05-29,Via possimus bellum tempus voveo repudiandae.,Emergency,Open,22
274,100,126,2024-03-24,Circumvenio absque texo deficio decerno veritas placeat adfero.,Emergency,Closed,8
275,100,981,2021-04-10,Denique conitor color desolo verbera adaugeo.,High,In Progress,29
276,100,274,2024-07-24,Adeo depopulo comedo amoveo credo cernuus vesco suspendo coepi.,Emergency,Open,8
277,100,907,2022-02-12,Sui tempus accusator combibo ascit altus cattus.,Low,In Progress,44
278,101,158,2022-04-16,Convoco repudiandae tardus.,High,Closed,49
279,101,1093,2022-04-07,Commodo verto earum capto subvenio verumtamen a.,High,In Progress,50
280,101,887,2023-03-27,Deputo apparatus tredecim sufficio magni vilitas eum.,Low,In Progress,22
281,101,687,2021-05-28,Contigo suggero totidem deludo.,High,Open,34
282,101,895,2022-12-19,Saepe tenetur sperno ultra talio argentum ambitus aqua socius.,High,Closed,29
283,101,448,2023-07-06,Carcer copiose tamen acidus aperte pauper sui umerus accusantium super.,Medium,Closed,16
284,103,71,2023-11-07,Totidem thesaurus amplus anser cupressus tui cubicularis.,Emergency,In Progress,11
285,103,901,2024-02-25,Creator consuasor pel calco tripudio verus culpo.,Low,In Progress,4
286,103,664,2023-12-10,Correptius dedecor casus.,High,In Progress,36
287,103,1015,2024-01-22,Administratio crustulum barba alioqui triumphus.,Medium,In Progress,19
288,103,164,2024-01-26,Iure ab enim crastinus vociferor accusamus decretum carpo.,Low,In Progress,25
289,105,633,2024-01-15,Theatrum via apto exercitationem vicinus decor tepesco.,Medium,Closed,30
290,105,61,2022-12-16,Praesentium depraedor quos harum caries custodia.,Emergency,In Progress,18
291,105,209,2023-12-23,Coepi deputo tantum theatrum ustulo conqueror ulciscor.,Low,Closed,7
292,105,794,2024-08-15,Aedificium compello stella vinco suscipit.,Medium,Closed,46
293,106,739,2023-12-18,Aliquid pecto vos.,High,In Progress,8
294,106,596,2023-06-26,Despecto trans comes desolo vado vulgivagus.,Low,In Progress,45
295,106,483,2021-01-07,Sui asperiores tergiversatio trans currus beatae villa constans cometes tandem.,Low,Closed,25
296,106,1129,2024-09-18,Attollo condico admiratio trepide aliqua autus cognomen calculus color currus.,Medium,Open,3
297,106,604,2024-09-02,Audeo avarus creator vomica amitto utique neque error.,Emergency,Closed,38
298,107,40,2024-05-23,Bardus convoco vapulus ustulo suasoria.,Medium,Closed,3
299,107,1047,2024-01-31,Cultellus deputo commodi animadverto.,Emergency,Open,43
300,107,208,2024-08-03,Vel demo amissio vilicus desipio.,High,In Progress,12
301,108,640,2024-08-10,Volva viduo qui ratione totam est.,Medium,Open,25
